SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_glsA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gltS	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narB	gtdb_r207_narC	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_nod	gtdb_r207_norB	gtdb_r207_norC	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfB	gtdb_r207_nrfC	gtdb_r207_nrfD	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
24_SD7475_H071_pH6.5	2993	138	197	258	31	0	1530	37	18021	4822	13640	2688	23562	12411	20322	8441	290	43	138	382	287	2384	7679	198	13399	3711	3150	2539	405	189	17521	9344	41	1644	61	3628	6187	301	1908	338	2147	1000	1349	1891	2068	337	6039	185	1199	20	3	1483	37	1008	963	5889	1160	520	1059	1835	585	50064631
25_SD7476_H072_pH6.5	2058	55	72	125	20	2	1180	15	13126	3545	10614	1934	17893	9096	15058	6288	142	26	41	294	245	1671	5399	144	9404	2653	2258	1754	285	167	12382	6766	28	1278	29	2572	4424	213	1376	214	1660	711	931	1530	1332	289	4020	118	771	14	1	1139	18	710	714	4422	758	378	741	1444	449	43033189
26_SD7477_H073_pH6.5	6169	93	136	234	66	0	2847	42	36954	10009	27926	5913	46804	24432	40060	18699	321	52	191	749	651	4413	14816	289	26413	7374	5345	5120	706	324	35283	17094	81	3124	77	7202	10919	502	3319	648	4074	1971	2596	4227	4697	701	12588	374	2581	52	3	2811	44	2006	1823	10856	2255	1161	1877	3456	1063	105422390
27_SD7478_H074_pH6.5	1495	35	32	63	27	0	797	20	9524	2442	6481	1141	10527	6514	9334	3967	121	28	70	239	194	1428	3837	81	6869	1836	1585	1242	178	101	8753	4420	31	867	45	1894	2847	151	916	109	1209	527	726	959	730	198	3060	108	573	23	3	796	23	477	503	2812	590	348	603	1008	309	22857846
28_SD7479_H075_pH6.5	2603	92	84	154	18	1	1475	21	16315	4213	12504	2405	21205	11740	18064	7457	165	33	83	408	270	2198	6797	146	11998	3238	2854	2049	364	186	15590	8355	25	1555	30	3320	5524	240	1634	276	2051	907	1242	1699	1664	337	5109	155	1037	14	3	1420	23	901	890	5302	1057	567	1014	1690	519	46992973
29_SD7480_H076_pH6.5	3	0	0	0	0	0	8	2	32	10	18	2	37	39	34	16	1	0	1	4	0	8	20	0	37	3	7	5	0	0	38	14	1	8	0	9	14	1	6	0	6	3	3	5	5	0	14	2	5	0	0	8	2	0	2	17	3	2	0	4	1	61196
30_SD7481_H077_pH6.5	2381	48	64	119	24	0	1297	28	14375	3793	11263	2455	19250	10892	16675	6778	123	30	85	370	250	1995	6569	162	11851	2976	2491	1971	316	167	15329	8081	29	1380	33	3023	5454	264	1468	231	1847	890	1140	1590	1522	314	4783	175	920	14	6	1255	28	931	885	5104	1079	572	1056	1676	508	41298897
31_SD7482_H078_pH6.5	1520	69	144	134	20	0	1054	13	10489	2659	8566	1561	13686	7621	11959	4427	175	24	70	237	182	1353	4589	92	8054	2080	2483	1601	376	186	10260	5981	22	1116	26	2176	3826	202	1140	219	1433	624	649	1136	932	195	3061	97	585	13	6	1020	13	603	576	3254	672	422	665	1069	393	27102223
32_SD7483_H079_pH6.5	1670	43	63	109	7	3	845	21	8889	2526	6977	1097	12125	6988	10501	4185	142	38	74	218	162	1485	3671	58	6816	2186	2004	1404	270	183	8771	4553	12	899	18	2143	2881	139	958	144	1426	586	795	1089	517	213	3192	127	451	4	0	842	21	474	452	2855	584	357	564	929	283	24025990
33_SD7484_H080_pH6.5	1908	46	66	94	23	1	1007	8	11784	3188	8410	1747	13845	8054	12056	5340	136	24	93	301	192	1771	4640	117	8378	2405	1861	1679	220	123	10739	5679	29	1059	14	2395	3750	160	1076	167	1486	668	944	1262	1151	279	3951	127	705	17	0	966	8	675	621	3495	747	283	564	1210	342	30486342
